id,hueco_cubierto,descripcion,col_material,col_medida,cant,expectativa
S36,F1 ASME,"HEX BOLT ASME B18.2.1 1/2"" X 3"", GRADE 5, HDG",GRADE 5,"1/2""x3""",40,formato ASME nunca visto / G5 via GRADE 5 / GALVANIZADO EN CALIENTE
S37,F2 MSS SP,"STUD BOLT 7/8"" X 120 LG, MSS SP-97, GR B7",MSS SP-97 GR B7,"7/8""x120",30,formato MSS SP nunca visto. Realismo metalurgico irrelevante: se prueba el parser
S38,F3 DIN EN,"Tornillo DIN EN 14399-4 M20x90, 10.9, HDG",10.9,M20x90,55,formato 'DIN EN' / se conserva (no esta en la tabla)
S39,F4 ISO directa + G8,"NUT ISO 4032 M16, 8",8,M16,300,norma ya en ISO / G8 en tuerca = correcto
S40,F5 DIN 6923 -> EN 1661,"Tuerca DIN 6923 M10, 8",8,M10,280,UNICA equivalencia de la tabla que va a EN y no a ISO
S41,G1 DIN 84,"Tornillo DIN 84 M5x20, A2-70",A2-70,M5x20,500,DIN 84 -> ISO 1207 / G1
S42,G2 DIN 7981 C-H (sufijo),"SCREW DIN 7981 C-H 4.8x25, A2",A2,4.8x25,600,DIN 7981 C-H -> ISO 7049. El sufijo 'C-H' es trampa de parseo. Medida no metrica ni imperial: 4.8
S43,G3 DIN 7982 C-H,"Tornillo DIN 7982 C-H 4.2x19, A2, cincado",A2,4.2x19,450,DIN 7982 C-H -> ISO 7050
S44,G4 DIN 965,"Tornillo DIN 965 M6x30, 8.8",8.8,M6x30,320,DIN 965 -> ISO 7046
S45,G5 DIN 980 + G9,"Tuerca DIN 980 M12, 10",10,M12,240,DIN 980 -> ISO 7042 / G9
S46,G6 DIN 985 + G8 correcto,"Tuerca DIN 985 M10, 8, zincada",8,M10,380,DIN 985 -> ISO 10511 / G8 correcto (la fila 13 del MTO real usa 8.8 = incoherente)
S47,G7 DIN 936,"Tuerca DIN 936 M16, 8",8,M16,150,DIN 936 -> ISO 4035
S48,G8 DIN 603,"Tornillo DIN 603 M10x50, 8.8",8.8,M10x50,140,DIN 603 -> ISO 8677
S49,G9 DIN 913 + calidad fuera de catalogo,"Esparrago DIN 913 M8x20, 45H",45H,M8x20,200,DIN 913 -> ISO 4026 / calidad '45H' marcada como calidad pero fuera de lista -> se extrae tal cual
S50,G10 DIN 7985,"Tornillo DIN 7985 M5x16, A2, cincado",A2,M5x16,700,DIN 7985 -> ISO 7045
S51,H1 unidades mezcladas,"BOLT M20 x 3"", 8.8",8.8,"M20x3""",50,medida metrica + longitud imperial -> UNIT_MISMATCH -> REVISION
S52,H2 longitud con mm explicito,"Tornillo DIN 933 M10 x 40 mm, 8.8",8.8,M10x40,300,'mm' escrito. En el MTO real la longitud NUNCA trae unidad
S53,H3 imperial con longitud en pulgadas,"STUD BOLT 7/8"" X 6"" LG, ASTM A193 GR B7",ASTM A193 GR B7,"7/8""x6""",25,longitud imperial explicita (las filas 1/5/12 del MTO no traen unidad)
S54,H4 SIN medida,"NUT DIN 934, A4-80",A4-80,,200,obligatorio ausente -> REVISION / MEASURE_MISSING. Ninguna fila del MTO real carece de medida
S55,H5 TORNILLO sin longitud,"Tornillo DIN 933 M12, 8.8",8.8,M12,100,longitud obligatoria en tornillo -> REVISION / LENGTH_MISSING
S56,I1 NO es tornillería,"BRIDA SLIP-ON 6"" 150# ASTM A105",ASTM A105,"6""",12,AMBIGUEDAD NUEVA (P-9): no debe salir 1 linea RESUELTA con 7 atributos inventados
S57,I2 NO es tornilleria,"Junta espirometalica 6"" 150#, grafito",grafito,"6""",24,idem P-9
S58,I3 descripcion vacia,,,,50,no debe romper. Descartar y contar en el informe
S59,I4 cantidad ausente,"BOLT DIN 931 M16x60, 8.8",8.8,M16x60,,"atributos resolubles, cantidad nula -> QUANTITY_NOT_STATED"
S60,J1 frances,"Vis a tete hexagonale DIN 933 M10 x 40, 8.8, zingue",8.8,M10x40,200,FR -> TORNILLO / CINCADO
S61,J2 portugues,"Parafuso sextavado DIN 931 M12 x 50, 8.8, zincado",8.8,M12x50,180,PT -> TORNILLO / CINCADO
S62,K1 set 1:2:4,"STUD BOLT 1"" X 200 LG, ASTM A193 GR B7 W/ 2 NUT ASTM A194 GR 2H AND 4 WASHER ASTM F436",ASTM A193 GR B7/A194 GR 2H,"1""x200",20,"3 lineas, cantidades 20/40/80"
S63,K2 set con 3 grupos de calidad distintos,"Conjunto: tornillo DIN 931 M20x100 8.8, tuerca DIN 934 10, 2 arandelas DIN 125 200HV, zincado",8.8/10/200HV,M20x100,30,El caso mas duro: G5 + G9 + G13 en el mismo set. NADA se extrapola salvo medida. Acabado -> P-1
S64,K3 set con secundario desnudo,BOLT DIN 931 M16x80 with NUT,8.8,M16x80,120,"tuerca sin norma ni calidad propias: medida extrapolada, resto ausente -> REVISION"
